"name","portname"
"209NGPHP038","172.26.44.219"
"209NGPHP039","172.26.44.220"
"209NGPHP040","172.26.44.221"
"241ORTKM500","10.72.17.4_1"
"241FAMHP007","10.72.16.8"
"241FAMHP006","10.72.16.7"
"241FAMHP008","10.72.16.9"
"241FAMXR500","10.72.16.10"
"241FAMHP004","10.72.16.5"
"241FAMHP005","10.72.16.6"
"241FAMHP003","10.72.16.3"
"241FAMHP001","10.72.16.1"
"112INTHP004","10.71.176.21"
"112INTHP003","10.71.176.20"
"112INTHP002","10.71.176.19"
"112INTHP001","10.71.176.18"
"241FAMHP002","10.72.16.2"
"209CTSXR504","172.26.39.58"
"112LABHP502","10.71.136.91"
"212NGPHP100","172.17.82.77"
"112VAMHP001","10.71.144.124"
"NGPG-BCBM4-NEURO-E","172.26.111.123"
"210FAMHP008","208FAMHP008"
"210FAMXR500","210FAMXR500"
"210FAMHP990","210FAMHP990"
"210FAMHP011","210FAMHP011"
"210FAMHP009","210FAMHP009"
"210FAMHP010","210FAMHP010"
"239OCCXR501","172.19.26.176"
"210NUTHP402","172.26.10.80"
"210NEUXR500","10.82.176.136"
"112BINHP001","10.71.192.115"
"112BSSHP500","10.71.152.124_1"
"112BSSHP501","10.71.176.92"
"112IMCHP004","10.71.160.35"
"TM-MEDTRANS-A","172.19.26.49"
"NGPG-BCMB4-ORTHO-N","172.26.45.177"
"NGPG-BCMB4-ORTHO-M","172.26.45.26"
"NGPG-BCMB4-ORTHO-L","172.26.45.23"
"NGPG-BCMB4-ORTHO-K","172.26.45.21"
"NGPG-BCMB4-ORTHO-J","172.26.45.22"
"NGPG-BCMB4-ORTHO-I","172.26.45.15"
"NGPG-BCMB4-ORTHO-H","172.26.45.14"
"NGPG-BCMB4-ORTHO-G","172.26.45.13"
"NGPG-BCMB4-ORTHO-F","172.26.45.12"
"NGPG-BCMB4-ORTHO-E","172.26.45.10"
"NGPG-BCMB4-ORTHO-D","172.26.45.9"
"NGPG-BCMB4-ORTHO-C","172.26.45.8"
"NGPG-BCMB4-ORTHO-B","172.26.45.7"
"NGPG-BCMB4-ORTHO-A","172.26.45.6"
"NGPG-BCMB4-NEURO-N","172.26.45.153"
"NGPG-BCMB4-NEURO-M","172.26.45.25"
"NGPG-BCMB4-NEURO-L","172.26.45.173"
"NGPG-BCMB4-NEURO-K","172.26.45.20"
"NGPG-BCMB4-NEURO-J","172.26.45.19"
"NGPG-BCMB4-NEURO-I","172.26.45.18"
"NGPG-BCMB4-NEURO-H","172.26.45.17"
"NGPG-BCMB4-NEURO-G","172.26.45.16"
"NGPG-BCMB4-NEURO-F","172.26.45.11"
"NGPG-BCMB4-NEURO-D","172.26.45.4"
"NGPG-BCMB4-NEURO-C","172.26.45.3"
"NGPG-BCMB4-NEURO-B","172.26.45.2"
"NGPG-BCMB4-NEURO-A","172.26.45.1"
"NGPG-BCMB3-URO-K","172.26.43.119"
"NGPG-BCMB3-URO-J","172.26.43.178"
"NGPG-BCMB3-URO-I","172.26.43.179"
"NGPG-BCMB3-URO-H","172.26.43.229"
"NGPG-BCMB3-URO-G","172.26.43.228"
"NGPG-BCMB3-URO-FD","172.26.43.203"
"NGPG-BCMB3-URO-F","172.26.43.223"
"NGPG-BCMB3-URO-E","172.26.43.222"
"NGPG-BCMB3-URO-C","172.26.43.226"
"NGPG-BCMB3-URO-B","172.26.43.225"
"NGPG-BCMB3-URO-A","172.26.43.224"
"NGPG-BCMB3-OB-Scheduler","172.26.43.90"
"NGPG-BCMB3-OB-R","172.26.43.98"
"NGPG-BCMB3-OB-Q","172.26.43.99"
"NGPG-BCMB3-OB-P","172.26.43.132"
"NGPG-BCMB3-OB-O","172.26.43.107"
"NGPG-BCMB3-OB-N","172.26.43.106"
"NGPG-BCMB3-OB-M","172.26.43.137"
"NGPG-BCMB3-OB-Lab","172.26.43.88"
"NGPG-BCMB3-OB-L","172.26.43.138"
"NGPG-BCMB3-OB-K","172.26.43.115"
"NGPG-BCMB3-OB-J","172.26.43.112"
"NGPG-BCMB3-OB-I","172.26.43.125"
