"Name","Comment","DriverName","Location","PortName","Subnet","SubLocation"
"251PEDHP026","","HP Universal Printing PCL 6 (v6.8.0)","Toccoa Foothills","251PEDHP026","Unknown PortName","Unknown"
"204INTXR501","GSV INTERNAL MED - BACK OFFICE","Xerox GPD PCL6 V3.9.520.6.0","1285 Sims Street","10.79.168.80","10.79.168.0","Data Vlan VID-500"
"255PEDHP008","","HP Universal Printing PCL 5","Demorest Pedi","10.64.64.8","10.64.64.0","Data Vlan VID-500"
"XeroxTest","Created by GRLEWIS - PowerShell","Xerox GPD PCL6 V3.9.520.6.0","","172.30.60.160","172.30.60.0","Heart Center - Outpatient - 2nd Floor - Datat"
"Xerox GPD PCL6 V3.9.520.6.0","","Xerox GPD PCL6 V3.9.520.6.0","","10.71.97.7","10.71.96.0","Data Vlan VID-500"
"WEL_CR_P85E","CREATED BY BOBBY WOODY 3-8-12","HP Universal Printing PCL 5","SHERWOOD REHAB","172.19.2.161","172.19.2.0","Sherwood Plaza Location - Data"
"WANS-HP","Created by Dave","HP Universal Printing PCL 5","WANS Shop ","172.25.5.33","172.25.4.0","SPT Data WANS-IDF"
"TRAUMA-OPERATIONS-A","Created by Zachary Bryson. Requested by Guy Karam and Lisa Farmer. SDE #537843.","Xerox GPD PCL6 V3.9.520.6.0","Wisteria Ste. 150","172.25.106.151","172.25.106.0","NGPG-Trauma Data"
"TOC-ONC-CHEMO","CREATED BY BOBBY WOODY 7/11/14","Xerox GPD PCL6 V3.9.520.6.0","TOCCOA CANCER CENTER","172.19.12.154","172.19.12.0","TCC Network"
"TOC-CANCER-HP","BAC","HP Universal Printing PCL 5","","172.19.12.155","172.19.12.0","TCC Network"
"Timeshare-FD","","Xerox GPD PCL6 V3.9.520.6.0","Med Plaza Suite 140 Braselton","172.26.11.93","172.26.10.0","RP MOB 1st Floor Data Range"
"THCWN-C","Created by GRLEWIS - PowerShell","HP Universal Printing PCL 5","","10.71.192.152","10.71.192.0","Data Vlan VID-500"
"THCWN-A","Created by GRLEWIS - PowerShell","Xerox GPD PCL6 V3.9.520.6.0","","10.71.192.150","10.71.192.0","Data Vlan VID-500"
"THCRP-FRTDSK-A","CREATED BY BOBBY WOODY 7/15/14","SHARP UD2 PCL6","THC RIVERPLACE NURSE STATION","10.222.2.250","Unknown","Unknown"
"THCLV-NURSE-A","Created by GRLEWIS - PowerShell","Xerox GPD PCL6 V3.9.520.6.0","","172.17.6.152","172.17.6.0","NGHS - Lavonia - The Heart Center - Data"
"THCHM-A","jasewell 1/15/15","Xerox GPD PCL6 V3.9.520.6.0","THC Hamilton Mill","172.19.66.155","172.19.66.0","Hamilton Mill Data Network"
"THCHA-OFFICE-A","Created by GRLEWIS - PowerShell","Xerox GPD PCL6 V3.9.520.6.0","","172.19.90.175","172.19.90.0","THC Demorest Data"
"THCDN-FRTDSK-A","CREATED BY BOBBY WOODY 7/30/14","KX DRIVER for Universal Printing","THC DAHLONEGA FRONT DESK PRINTER","172.17.4.150","172.17.4.0","NGHS - Dahlonega - The Heart Center - Data"
"THCDC-FRTDSK-A","CREATED BY BOBBY WOODY 7/30/14","HP Universal Printing PCL 5","THC DIAGNOSTIC CLINIC","172.17.8.150","172.17.8.0","NGHS - Diagnostic Clinic - The Heart Center - Data"
"THCCU-NUC-A","CREATED BY BOBBY WOODY 7/15/14","HP Universal Printing PCL 5","CUMMING NUCLEAR AREA","10.222.3.232","Unknown","Unknown"
"THCCL-FRTDSK-B","Created by GRLEWIS - PowerShell","Xerox GPD PCL6 V3.9.520.6.0","","10.64.8.152","10.64.8.0","Data Vlan VID-500"
"THCCL-FRTDSK-A","CREATED BY BOBBY WOODY 7/30/14","KX DRIVER for Universal Printing","THC CLAYTON FRONT DESK PRINTER","172.17.84.150","172.17.84.0","Clayton II Data"
"THCBU-FRTDSK-A","jasewell 8/28/15","HP Universal Printing PCL 5","THC Buford Front Desk","172.19.22.150","172.19.22.0","NGPG Buford"
"THC-CMG-C","Created by GRLEWIS - PowerShell","HP Universal Printing PCL 5","","172.17.89.154","172.17.89.0","THC - Cumming Data Network"
"THC-CMG-B","Created by GRLEWIS - PowerShell","Xerox GPD PCL6 V3.9.520.6.0","","172.17.89.202","172.17.89.0","THC - Cumming Data Network"
"THC-CMG-A","Created by GRLEWIS - PowerShell","HP Universal Printing PCL 5","","172.17.89.153","172.17.89.0","THC - Cumming Data Network"
"TestWC5485","","Xerox GPD PCL6 V3.9.520.6.0","","172.25.4.172","172.25.4.0","SPT Data WANS-IDF"
"TELECOM-XEROX","","Xerox GPD PCL6 V3.9.520.6.0","Ground Central Telecom Office","10.88.248.113","10.88.248.0","Data Vlan VID-500"
"TCC-FRTDSK-A","CREATED BY BOBBY WOODY 6/17/14","Xerox GPD PCL6 V3.9.520.6.0","TCC FRONT DESK PRINTER","172.19.12.157","172.19.12.0","TCC Network"
"TCC-DR-OFF","","Lexmark Universal v2","","172.19.12.151","172.19.12.0","TCC Network"
"SWOPR-REH-B","Created by GRLEWIS - PowerShell","Xerox GPD PCL6 V3.9.520.6.0","","172.19.2.181_2","172.19.2.0","Sherwood Plaza Location - Data"
"SWOPR-REH-A-P8AA","CREATED BY BOBBY WOODY 3-8-12","Dell Color Laser 1320c","SHERWOOD REHAB","172.19.2.150","172.19.2.0","Sherwood Plaza Location - Data"
"THCWN-B","Created by GRLEWIS - PowerShell","HP Universal Printing PCL 5","","10.71.192.151","10.71.192.0","Data Vlan VID-500"
"SWCBO-CS-A","","Xerox GPD PCL6 V3.9.520.6.0","CBO SHERWOOD","172.19.18.156","172.19.18.0","Oakwood PCN"
"SPD_DISTRIBUTION","CREATED BY BOBBY WOODY 4-11-12","Lexmark Universal v2","OCIE POPE PURCHASING","172.23.102.152","172.23.102.0","NPT-G2 Data Network"
"SPD-P838","Created by P.G. - 7/17/2012","Xerox GPD PCL6 V3.9.520.6.0","SPD - StoreRoom - SGE","172.25.4.160","172.25.4.0","SPT Data WANS-IDF"
"SHER-REHAB-XEROX","CREATED BY BOBBY WOODY 3-8-12","Xerox GPD PCL6 V3.9.520.6.0","SHERWOOD INDUTRIAL REHAB","172.19.2.167","172.19.2.0","Sherwood Plaza Location - Data"
"SHER-REHAB-KIDWORKS","XEROX 3655X","Xerox GPD PCL6 V3.9.520.6.0","KIDWORKS SHERWOOD","172.19.2.158","172.19.2.0","Sherwood Plaza Location - Data"
"SHER-REHAB-B","Created by GRLEWIS - PowerShell","Xerox GPD PCL6 V3.9.520.6.0","","172.19.2.170","172.19.2.0","Sherwood Plaza Location - Data"
"SHER-CARDIAC-REG","Created by Dave","Xerox GPD PCL6 V3.9.520.6.0","Sherwood Cardiac Rehab Registration","172.19.2.88","172.19.2.0","Sherwood Plaza Location - Data"
"SGC-NICU-P928","","Xerox GPD PCL6 V3.9.520.6.0","NICU SGC","172.25.12.186","172.25.12.0","SPT Data NICU-IDF"
"SA-CBO-CODING-2","","HP Universal Printing PCL 5","Basement Surgiacl Associates","172.25.100.103","172.25.100.0","NGPG Surgical Associates Data"
"SA-CBO-CODING-1","","HP Universal Printing PCL 5","Basement Surgical Associates","172.25.100.102","172.25.100.0","NGPG Surgical Associates Data"
"RX_JJDCT-CLI-B","CCLANGMA - 9/26/2019","Xerox GPD PCL6 V3.9.520.6.0","1405 LAB","172.20.71.154","172.20.70.0","1405 Top Floor"
"RP-WIR-P73E","CREATED BY BOBBY WOODY 4-23-12","Xerox GPD PCL6 V3.9.520.6.0","RIVERPLACE IMAGING REGISTRATION","172.26.11.222","172.26.10.0","RP MOB 1st Floor Data Range"
"RP-REHAB-OT-ROOM","CREATED BY BOBBY WOODY 4-23-12","Lexmark Universal v2","RIVERPLACE REHAB OT ROOM","172.26.21.223","172.26.20.0","RP MOB 2nd Floor Data Range"
"RP-REHAB-CHART-ROOM","CREATED BY BOBBY WOODY 4-23-12","Xerox GPD PCL6 V3.9.520.6.0","RIVERPLACE REHAB CHART ROOM","172.26.21.224","172.26.20.0","RP MOB 2nd Floor Data Range"
"RP-LAB-FRTDESK1","Created by Stacy Wilbon","Lexmark Universal v2","River Place Health Link LAB","172.26.11.216","172.26.10.0","RP MOB 1st Floor Data Range"
"REHAB-CLV-P7EC","CREATED BY BOBBY WOODY 3-7-12","Xerox GPD PCL6 V3.9.520.6.0","CLEVELAND REHAB","172.18.3.18","172.18.3.16","Cleveland Rehab"
"REHAB-BUF-P7D2","CREATED BY BOBBY WOODY 3-8-12","Xerox GPD PCL6 V3.6.433.6.0.0","BUFORD REHAB","172.19.16.115","172.19.16.0","UrgentCare Buford - Friendship Road"
"RAD-BAR-CODES-P8B5","Ground Floor","HP Universal Printing PCL 5","Old File Room behind Rx","172.20.4.183","172.20.4.0","SPT Ground - Caf IDF"
"PROJECT-XEROX","CREATED BY BOBBY WOODY 4-11-12","Xerox GPD PCL6 V3.9.520.6.0","CONSTRUCTION BLDG","172.20.20.154","172.20.20.0","OPT Ground Floor"
"PR-COLOR","CREATED BY BOBBY WOODY 4-11-12","HP Universal Printing PCL 5","WISTERIA BLDG 1ST FLOOR PUBLIC RELATIONS","172.20.38.150","Unknown","Unknown"
"PO-XEROX-5945","Created by Dave","Xerox GPD PCL6 V3.9.520.6.0","Plant Operations","172.25.6.155","172.25.6.0","SPT Data Call-Ctr-IDF"
"PO-XEROX","CREATED BY BOBBY WOODY 4-23-12","Xerox GPD PCL6 V3.9.520.6.0","PLANT OPS OFFICE","172.25.6.150","172.25.6.0","SPT Data Call-Ctr-IDF"
"Plant-Ops-Coordinator-Xerox","","Xerox GPD PCL6 V3.9.520.6.0","Coordinator office","172.25.0.172","172.25.0.0","SPT Data  GC-IDF-VC1"
"PI_COLOR_LASER","CREATED BY BOBBY WOODY 4-11-12","HP Universal Printing PCL 5","SGD PERFORMANCE IMPROVEMENT","172.20.5.170","172.20.4.0","SPT Ground - Caf IDF"
"PATACCT-P847-XEROX-SECUREPRT","USE THIS PRINTER FOR SECURE PRINTING ONLY - Created by Andy B. 7/27/2012","Xerox GPD PCL6 V3.9.520.6.0","1405 Finance","172.20.70.151","172.20.70.0","1405 Top Floor"
"PATACCT-P847-XEROX","Created by Patrick G.","Xerox GPD PCL6 V3.9.520.6.0","PASC AREA - 1405","172.20.70.151","172.20.70.0","1405 Top Floor"
"Paragon-Virtual-Printer","This is a print-to-file printer for use with Paragon to function as a printer for posting to records without actually printing.","HP Universal Printing PCL 5","None","FILE:","Unknown PortName","Unknown"
"OP4-Cath3","","HP Universal Printing PCL 5","Control Room 3","172.20.28.143","172.20.28.0","OPT 4th Floor"
"OP-REG-P8B0","","HP Universal Printing PCL 5","OPG Registration","172.20.20.158","172.20.20.0","OPT Ground Floor"
"ONC-RES-GAIN-A","JASEWELL","HP Universal Printing PCL 5","ONC RESEARCH 1285 SIMS ST","10.74.241.1","10.74.240.0","Data Vlan VID-500"
"ONC-REG-ADM","","Xerox GPD PCL6 V3.9.520.6.0","Wysteria Bld 4th floor","172.20.71.70","172.20.70.0","1405 Top Floor"
"OAKCP-TT-EF100","Created by GRLEWIS - PowerShell","Xerox GPD PCL6 V3.9.520.6.0","","172.24.213.71","172.24.212.0","Oakwood Admin - IDF B Data"
"OAKCP-QD3-I","CREATED BY BOBBY WOODY 6-22-15","Xerox GPD PCL6 V3.9.520.6.0","OAKWOOD CORP PLAZA QD3 REAL ESTATE","172.24.210.160","172.24.210.0","Oakwood Admin - IDF A Data"
"OAKCP-QD3-H","CREATED BY BOBBY WOODY 2/25/15","Xerox GPD PCL6 V3.9.520.6.0","OAKWOOD CORP PLAZA GRAPHICS","172.24.210.93","172.24.210.0","Oakwood Admin - IDF A Data"
"OAKCP-QD3-G","CREATED BY BOBBY WOODY 1/21/15","Xerox GPD PCL6 V3.9.520.6.0","OAKWOOD CORP PLAZA GRAPHICS","172.24.210.84","172.24.210.0","Oakwood Admin - IDF A Data"
"OAKCP-QD3-E","CREATED BY BOBBY WOODY 3/5/15","Xerox AltaLink C8055 PCL6","OAKWOOD CORP PLAZA QD3 PURCHASING","172.24.210.154","172.24.210.0","Oakwood Admin - IDF A Data"
"OAKCP-QD3-C-HCFA","CREATED BY BOBBY WOODY 12/22/14","Xerox GPD PCL6 V3.9.520.6.0","OAKWOOD CORP PLAZA","172.24.210.152","172.24.210.0","Oakwood Admin - IDF A Data"
"OAKCP-QD3-B","CREATED BY BOBBY WOODY 2/14/15","Xerox GPD PCL6 V3.9.520.6.0","OAKWOOD CORP PLAZA QD3 NGPG","172.24.210.156","172.24.210.0","Oakwood Admin - IDF A Data"
"OAKCP-QD2-P","Created by GRLEWIS - PS","Xerox GPD PCL6 V3.9.520.6.0","Corp PLaza Quad 2","172.24.208.188","172.24.208.0","Oakwood Admin - MDF Data"
"OAKCP-QD2-N","Created by GRLEWIS - PS","Xerox GPD PCL6 V3.9.520.6.0","","172.24.208.170","172.24.208.0","Oakwood Admin - MDF Data"
"OAKCP-QD2-M","Created by GRLEWIS - PS","Xerox GPD PCL6 V3.9.520.6.0","","172.24.208.166","172.24.208.0","Oakwood Admin - MDF Data"
"OAKCP-QD2-K","CREATED BY BOBBY WOODY 12/1/15","Xerox GPD PCL6 V3.9.520.6.0","OAKWOOD CORP PLAZA","172.24.208.160","172.24.208.0","Oakwood Admin - MDF Data"
"OAKCP-QD2-J","CREATED BY BOBBY WOODY 4/14/15","Xerox GPD PCL6 V3.9.520.6.0","OAKWOOD CORP PLAZA - THC AR DEPT","172.24.208.159","172.24.208.0","Oakwood Admin - MDF Data"
"OAKCP-QD2-I","CREATED BY BOBBY WOODY 1/10/15","Xerox AltaLink C8035 PCL6","OAKWOOD CORP PLAZA REV CYCLE","172.24.208.158","172.24.208.0","Oakwood Admin - MDF Data"
"OAKCP-QD2-H-HCFA","CREATED BY BOBBY WOODY 12/13/14","Xerox GPD PCL6 V3.9.520.6.0","OAKWOOD CORP PLAZA QD 2 ","172.24.208.157","172.24.208.0","Oakwood Admin - MDF Data"
"OAKCP-QD2-H","PRINTER CREATED BY RYAN PERPALL, 12/5/14","Xerox GPD PCL6 V3.9.520.6.0","Oakwood Corporate Plaza","172.24.208.157","172.24.208.0","Oakwood Admin - MDF Data"
"OAKCP-QD2-G-HCFA","CREATED BY BOBBY WOODY 12/13/14","Xerox GPD PCL6 V3.9.520.6.0","OAKWOOD CORP PLAZA QUADRANT 2","172.24.208.156","172.24.208.0","Oakwood Admin - MDF Data"
"OAKCP-QD2-E","CREATED BY BOBBY WOODY 1/17/15","Xerox GPD PCL6 V3.9.520.6.0","OAKWOOD CORP PLAZA PFS","172.24.208.154","172.24.208.0","Oakwood Admin - MDF Data"
"OAKCP-QD2-C","CREATED BY BOBBY WOODY 2/14/15","Xerox GPD PCL6 V3.9.520.6.0","OAKWOOD CORP PLAZA QD2 RM/COMP","172.24.208.152","172.24.208.0","Oakwood Admin - MDF Data"
"OAKCP-QD1-K","CREATED BY BOBBY WOODY 2/14/15","Xerox AltaLink C8055 PCL6","OAKWOOD CORP PLAZA QD1 NGPG ADMIN","172.24.214.160","172.24.214.0","Oakwood Admin - IDF C Data"
"OAKCP-QD1-H","CREATED BY BOBBY WOODY","Xerox GPD PCL6 V3.9.520.6.0","OAKWOOD CORP PLAZA PASC","172.24.214.157","172.24.214.0","Oakwood Admin - IDF C Data"
