"Name","Comment","DriverName","Location","PortName"
"MCN1G-PST-B-P93E","Created by Andy B.  - 07/16/2012","Xerox GPD PCL6 V3.6.433.6.0.0","PST Main Hall","172.23.110.157"
"MCN1G-PST-A-P93D","bac","Xerox GPD PCL6 V3.6.433.6.0.0","PST","172.23.110.156"
"MCN1G-PST-D-P940","bac","Xerox GPD PCL6 V3.9.520.6.0","PST","172.23.110.159"
"MCN1G-PST-C-P93F","bac","Xerox Global Print Driver PCL6","PST","172.23.110.158"
"MCN1G-NUC-C","~JASCOGGI","Xerox Global Print Driver PCL6","NUCLEAR MED","172.23.112.146"
"NGPG-MP12-OB-Ex-R","HP","HP Universal Printing PCL 6","MP1 200 OB","172.19.72.117"
"MCN1G-NUC-A-P938","bac","HP Universal Printing PCL 6","NUC Med","172.23.112.160"
"NGPG-MP12-OB-Ex-S","HP","HP Universal Printing PCL 6","MP1 200 OB","172.19.72.118"
"MCN1G-NUC-B","created 3/27/14 RCB","Xerox Global Print Driver PCL6","","MCN1G-NUC-B"
"MCN1G-PST-E","","Xerox Global Print Driver PS","","172.23.111.209"
"MCN1G-RAD-F-P947","bac","Xerox GPD PCL6 V3.9.520.6.0","Radiology","172.23.112.152"
"MCN1G-RAD-C-P94F","bac","Xerox GPD PCL6 V3.9.520.6.0","Radiology","172.23.114.152"
"MCN1G-RAD-K-P94A","bac","Xerox GPD PCL6 V3.6.433.6.0.0","Radiology","172.23.112.155"
"MCN1G-RAD-H-P949","bac","Xerox GPD PCL6 V3.9.520.6.0","Radiology","172.23.112.154"
"MCSGD-HPH-A","bac","Xerox GPD PCL6 V3.9.520.6.0","Helping Hands","172.25.8.151"
"MCN1G-RAD-A (Color)","CREATED BY BOBBY WOODY 11/6/14","HP LaserJet 200 color M251 PCL 6","N1G ADMIN AREA","172.23.114.150"
"MCN1G-PULMA-A","Created 8/22/16 by B. Squires","HP LaserJet 200 color M251 PCL 6","MC N1G Pulmanary Office ","172.23.113.151"
"MCN1G-RAD-B-P94E","bac","Xerox GPD PCL6 V3.9.520.6.0","Radiology","172.23.114.151"
"NGPG-MP12-OB-Ex-D","HP","HP Universal Printing PCL 6","MP1 200 OB","172.19.72.103"
"NGPG-HCHD-FRT-DESK1","","HP Universal Printing PCL 6","","172.19.21.152"
"MCMB3-CRP-A","CREATED BY BOBBY WOODY 4-11-12","Xerox Global Print Driver PCL6","WISTERIA BLDG. SUITE 150","172.25.106.101"
"MCN1G-BRT-SPT","Bright Spot Xerox 6655 Printer","Xerox GPD PCL6 V3.5.404.8.0","NPT-N1G","172.23.111.110"
"MCN1G-ACREHAB","NORTH PATIENT TOWER - ACUTE REHABV- Moved on 2/26/2016","Xerox GPD PCL6 V3.9.520.6.0","NORTH PATIENT TOWER - ACUTE REHAB","172.23.112.153"
"MCWB2-THC-REG-A","CREATED BY BOBBY WOODY 7/10/14","SHARP UD2 PCL6","WISTERIA-2 TESTING REGISTRATION AREA","172.30.60.168"
"MCC3B-ADM-A","CREATED BY BOBBY WOODY 5/27/14","Xerox Global Print Driver PS","C3B ADMIN AREA RONNIE GREEN","172.25.48.152"
"MCC3-CENTRAL","PRINTER CREATED BY RYAN PERPALL 2/20/15","Xerox GPD PCL6 V3.6.433.6.0.0","RGHC C3","172.25.48.26"
"MCC3B-NUR-A-P8C7","Created by Andy B.  7/10/2012","Xerox GPD PCL6 V3.6.433.6.0.0","Ronnie Green Nurse Station","172.25.48.150"
"MCC3B-CARDIO-DR","Created by Dave","HP Universal Printing PCL 6","SPT C3B","172.25.48.154"
"MCN1G-CHAP-B-COLOR","Created by Dave","HP LaserJet 200 color M251 PCL 6","Pastoral Care Front Desk","172.23.110.204"
"MCN1G-END-F","","Xerox Global Print Driver PCL6","","172.23.114.134"
"MCN1G-END-C-P953","bac","HP Universal Printing PCL 6","Endo Dict Room","172.23.114.157"
"MCN1G-LIBR-A","","Xerox AltaLink C8055 PCL6","","172.23.110.162"
"MCN1G-FINCOL","","Xerox GPD PCL6 V3.6.433.6.0.0","NPT 1 Financial Counseling","172.23.110.151"
"MCS3D-HFU-A-P73F","Xerox 4150 ","Xerox GPD PCL6 V3.9.520.6.0","S3D Front Desk","172.25.52.150"
"MCN1G-CME-B","HP LJ PRO 200 Color","HP Universal Printing PCL 6","N1G Behind Library, Katrina Bailey's office","172.23.110.96"
"MCN1G-CHAP-B-P8FD","bac","Xerox GPD PCL6 V3.6.433.6.0.0","Chaplin Office","172.23.110.164"
"MCN1G-END-B-P952","Created by Alex on 12/15/2011","Xerox GPD PCL6 V3.9.520.6.0","N1G Endoscopy","172.23.114.156"
"MCN1G-END-A-P951","Created by Alex on 12/15/2011","Xerox Global Print Driver PCL6","N1G Endoscopy","172.23.114.155"
"MCN2G-PAC-B-P960","Created by Alex on 02/20/2012","Xerox Global Print Driver PCL6","PACU","172.23.126.152"
"MCN2G-ORED-A","Setup per INC0237481","Xerox GPD PCL6 V3.9.520.6.0","N2G OR Education","172.23.127.10"
"MCN2G-PAC-C-P985","bac (HP LaserJet 4000 Series)","Xerox Global Print Driver PCL6","PACU","172.23.126.158"
"MCOP3-EKG-A-P89F","Created by Andy B.","Xerox Global Print Driver PCL6","EOU in S1E","172.25.24.157"
"MCS1D-INF-P721","","Xerox GPD PCL6 V3.9.520.6.0","","172.25.16.152"
"MCN1G-VOL-B","bac","Xerox AltaLink C8055 PCL6","NPT1","172.23.110.2"
"MCOP2-Trans-Color","","HP Universal Printing PCL 6","","172.20.24.153"
"MCN2G-EVOR-A","bac (HP LaserJet 4050 Series )","Xerox GPD PCL6 V3.5.404.8.0","NPT1 EVOR","172.23.120.153"
"MCN1G-VOL-STOCKROOM","PRINTER CREATED BY RYAN PERPALL 3/18/15","HP Universal Printing PCL 6","MCN1G Volunteer services","172.23.110.12"
"MCN2G-SSS-A-P961","BAC 3-8-12","Xerox GPD PCL6 V3.9.520.6.0","N2G Periop","172.23.126.153"
"MCN2G-SSS-F-P95F","Created by Alex on 02/10/2012","Xerox GPD PCL6 V3.9.520.6.0","N2G Periop Bay A/C","172.23.122.158"
"MCN2G-SSS-E-P96E","Created by Alex on 02/10/2012","HP Universal Printing PCL 6","N2G Periop Bay E","172.23.122.156"
"MCN2G-SUR-A-P958","bac","Xerox GPD PCL6 V3.9.520.6.0","NPT2 Sugery","172.23.122.157"
"NGPG-WJACK-B","NGPG West Jackson Lab - jasewell 7/30/14","HP Universal Printing PCL 6","NGPG West Jackson Lab","172.19.62.151"
"MCN2G-SSS-D-P964","Created by Alex on 02/10/2012","Xerox Global Print Driver PCL6","N2G Periop Bay B","172.23.126.156"
"NGPG-DAW-TENANT-B","NGPG Dawsonville 400 Timeshare","HP Universal Printing PCL 6","NGPG Dawsonville 400 Timeshare","172.17.72.173"
"MCS1D-EAD-A-P82F","","Xerox GPD PCL6 V3.5.404.8.0","ED PCC OFFICE AREA","172.25.20.152"
"MCN2G-SSS-C-P963","Created by Alex on 02/10/2012","Xerox Global Print Driver PCL6","N2G Periop Bay D/F","172.23.126.155"
"MCN2G-SSS-B-P962","BAC 3-8-12","Xerox GPD PCL6 V3.9.520.6.0","N2G Periop","172.23.126.154"
"MCN1G-RAD-S","CREATED BY BOBBY WOODY 8/11/2015","Xerox Global Print Driver PCL6","N1G MRI AREA","172.23.112.164"
"MCN1G-RAD-R-P942","bac","HP Universal Printing PCL 6","Radiology","172.23.112.159"
"MCWB3-NGP-A","CREATED BY BOBBY WOODY 4-23-12","Xerox GPD PCL6 V3.6.433.6.0.0","WISTERIA BLDG SUITE 380","172.30.70.150"
"MCN1G-RAD-T","bac","HP Universal Printing PCL 6","Warroom","172.23.112.186"
"MCSGF-PSS-A","","HP Universal Printing PCL 6","","172.25.4.166"
"MCN1G-RAD-M-P94B","bac","Xerox GPD PCL6 V3.9.520.6.0","Radiology","172.23.112.156"
"NGPG-Clev-EX9","Exam Room Printer (Plain Paper)","HP Universal Printing PCL 6","","172.19.34.189"
"MCN1G-RAD-N-P94C","BAC","HP Universal Printing PCL 6","MRI NPT1","172.23.112.157"
