"Computer Name","IP Address","OS","CPU","Last Report Time"
"004860391051","192.168.254.14
100.116.204.178
172.19.178.32","Win10 10.0.17134.590 (1803)","1600 MHz Pentium","Thu, 31 Oct 2019 11:36:30 +0000"
"251FSNLT007","10.71.1.120","Win10 10.0.17134.1069 (1803)","1900 MHz Core i5-8350U","Tue, 05 Nov 2019 17:24:18 +0000"
"251FSNLT001","172.25.5.66","Win10 10.0.18362.418 (1903)","1800 MHz Core i5-8250U","Tue, 05 Nov 2019 17:59:01 +0000"
"251FSN010","172.16.0.234","Win10 10.0.17134.1009 (1803)","2500 MHz Core i5-6300U","Sun, 03 Nov 2019 13:15:54 +0000"
"251ADMPC004","10.71.0.94","Win10 10.0.18362.239 (1903)","3000 MHz Core i5-8500","Tue, 05 Nov 2019 17:32:33 +0000"
"251ADMPC002","10.71.8.19","Win10 10.0.17134.376 (1803)","3000 MHz Core i5-8500","Tue, 05 Nov 2019 18:15:43 +0000"
"251ADMPC001","10.71.8.24","Win10 10.0.10586.1176 (1511)","3400 MHz Core i7-4770","Tue, 05 Nov 2019 18:15:59 +0000"
"251ADMLT002","192.168.0.14
172.19.172.144","Win10 10.0.17134.1009 (1803)","2500 MHz Core i5-6300U","Mon, 28 Oct 2019 00:24:28 +0000"
"251FSNLT060","172.16.6.171","Win10 10.0.17134.885 (1803)","1800 MHz Core i5-8250U","Thu, 24 Oct 2019 15:13:58 +0000"
"250TIMPC002","10.71.96.26","Win7 6.1.7601","3200 MHz Core i5-6500","Tue, 05 Nov 2019 18:07:15 +0000"
"250PEDLT010","192.168.5.21
172.19.172.58","Win10 10.0.17134.590 (1803)","1900 MHz Core i5-8350U","Sat, 02 Nov 2019 05:47:04 +0000"
"250ORTLT001","10.0.161.43
172.19.172.215","Win10 10.0.17134.590 (1803)","2500 MHz Core i5-6300U","Mon, 04 Nov 2019 19:53:55 +0000"
"250LABPC116","172.16.6.145","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 17:28:30 +0000"
"250LABPC115","172.16.3.49","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 17:25:40 +0000"
"250LABPC114","172.16.4.74","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:15:48 +0000"
"250LABPC112","10.71.80.98","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 17:41:01 +0000"
"250LABPC111","10.71.81.77","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:14:19 +0000"
"250THCPC990","10.71.88.35","Win7 6.1.7601","3200 MHz Core i5-6500","Tue, 05 Nov 2019 18:10:13 +0000"
"250LABPC110","10.71.81.72","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:11:30 +0000"
"251IMCPC001","172.16.7.177","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 17:52:09 +0000"
"251OBGLT001","172.16.5.225","Win10 10.0.17134.590 (1803)","1900 MHz Core i5-8350U","Fri, 01 Nov 2019 20:43:07 +0000"
"251PEDPC027","10.71.16.108","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 17:25:15 +0000"
"251PEDPC026","10.71.16.63","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 18:01:06 +0000"
"251PEDPC025","10.71.16.104","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 17:40:34 +0000"
"251PEDPC024","10.71.17.193","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 17:52:51 +0000"
"251PEDPC023","10.71.17.214","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 17:38:25 +0000"
"251PEDPC001","10.71.17.153","Win10 10.0.17134.590 (1803)","3200 MHz Ryzen 5 PRO 2400GE w/ Radeon Vega Graphics ","Tue, 05 Nov 2019 16:47:37 +0000"
"251PEDLT005","192.168.254.67
172.19.173.72","Win10 10.0.17134.1009 (1803)","2500 MHz Core i5-6300U","Mon, 04 Nov 2019 04:16:08 +0000"
